name,address,city,state,postal_code
"Kabab House","3510 E Bell Rd, Ste 3",Phoenix,AZ,85032
"Matt's Big Breakfast","801 N 1st St",Phoenix,AZ,85004
Tea2go,"5415 E High St, Ste 103",Phoenix,AZ,85054
Dubliner,"3841 E Thunderbird Rd, Ste 111",Phoenix,AZ,85032
"Game Seven Grill","201 S 4th St",Phoenix,AZ,85034
"Matt's Big Breakfast","3800 E Sky Harbor Blvd, Terminal 4, Gate B5",Phoenix,AZ,85034
"Taco Bell","3507 W. Peoria Ave.",Phoenix,AZ,85029
"La Fontanella Restaurant","4231 E Indian School Rd",Phoenix,AZ,85018
"The Melting Pot","3626 E Ray Rd",Phoenix,AZ,85044
"Zen 32","3160 E Camelback Rd",Phoenix,AZ,85016
"Standard Restaurant Supply","2922 E McDowell Rd",Phoenix,AZ,85008
"Tuck Shop","2245 N 12th St",Phoenix,AZ,85006
"Mariscos Playa Hermosa","1605 E Garfield St",Phoenix,AZ,85006
"Taquizas Kabronis","15645 N 35th Ave",Phoenix,AZ,85053
"Carly's Bistro","128 E Roosevelt St",Phoenix,AZ,85004
"Circle K","2311 W Deer Valley Rd",Phoenix,AZ,85073
"The Good Egg - Uptown","50 E Camelback Rd",Phoenix,AZ,85012
"Matador Restaurant","125 E Adams St",Phoenix,AZ,85004
"Black Chile Mexican Grill","2502 E Camelback Rd",Phoenix,AZ,85016
"Cousins Subs","4801 E Washington St, Ste 1",Phoenix,AZ,85034
"99 Cents Only Stores","7830 N 12th St",Phoenix,AZ,85020
"The Original Phoenix Greek Festival","1973 E Maryland Ave",Phoenix,AZ,85016
"Jamba Juice","2370 West Happy Valley Rd, Ste 1065",Phoenix,AZ,85085
Mexx32,"3154 E Camelback Rd",Phoenix,AZ,85016
"Arcadia Premium","5618 E Thomas Rd, Ste 100",Phoenix,AZ,85018
"Grill Wrap Cafe","4804 E Chandler Blvd, Ste 108",Phoenix,AZ,85048
Ed's,,Phoenix,AZ,85004
"Green Tea Chinese Restaurant","3961 E Chandler Blvd, Ste 100",Phoenix,AZ,85048
Subway,"5127 W Indian School Rd",Phoenix,AZ,85031
"Two Hippies Breakfast Joint","4306 N 7th Ave",Phoenix,AZ,85013
"Peter Piper Pizza","4024 N 67th Ave",Phoenix,AZ,85033
"Touch Of Thai","16816 N 35th Ave",Phoenix,AZ,85053
"Switch Restaurant & Wine Bar","2603 N Central Ave",Phoenix,AZ,85004
"Donut Central","5835 S Central Ave",Phoenix,AZ,85040
"Sushi Station","20910 N Tatum Blvd, Ste 150",Phoenix,AZ,85050
Subway,"6805 N 19th Ave",Phoenix,AZ,85015
